Card,strain/medium,Description,visual concept,Symbolism,Notes
ten of wands,Starbud,"StarBud is the signature indica of the HortiLab seedline. After taking the Indica Cup at the High Times Cannabis Cup in 2009, StarBud developed a reputation for its thick coating of trichomes that sparkles like stars. This potent indica originated from a mystery clone out of the Midwest United States. StarBud is appreciated for its relaxing body effects and its ability to cradle consumers to sleep.","An alien struggles under the weight of ten brilliantly glowing wands, each heavy with sparkling trichomes that reflect the intense, star-like trichome coverage of Starbud. The burden is significant, yet the destination is visible in the near distance.","An alien struggles under the weight of ten brilliantly glowing wands, each heavy with sparkling trichomes that reflect the intense, star-like trichome coverage of Starbud. The burden is significant, yet the destination is visible in the near distance.", 
,,,,, 
one of cups,Secret-Garden-Og,"Secret Garden OG is a Colorado Seed Inc. masterpiece. This OG strain is incredibly relaxing and dedicated to Kush fans everywhere. The blend of Lavender parentage against a Ghost OG Moonshine x Rug Burn OG foretells the weight this strain applies to muscles throughout the body. With a unique aroma that leans toward the therapeutic, Secret Garden OG offers a cozy sense of well-being that extends to mood elevation and pain relief.    ","An alien enjoying tranquility in a lush, secluded garden, sipping from a cup infused with vibrant, aromatic flowers. The garden is an oasis of peace, filled with exotic plants and a gentle, serene ambiance.","The One of Cups symbolizes emotional fulfillment and the beginning of a joyful experience, akin to the initial soothing effects of Secret Garden OG. This card suggests new beginnings of happiness, emotional well-being, and the introspective joy of solitude.", 
two of cups,Royal-Dwarf,"Royal Dwarf is a full-body hybrid bred by Royal Queen Seeds in Spain through crossing Skunk with a cannabis ruderalis variety. The result is a stout plant that autoflowers in a short 6 to 7 weeks with dark, crystal-sugared buds. Its effects quickly branch throughout the body, inducing head-to-toe relaxation that’s more physical than cerebral.","Two aliens, each representing the diverse parent strains of Royal Dwarf, share a heartfelt toast under a starlit sky. Their cups brim with a sparkling, crystalline liquid, symbolizing the merging of their unique qualities.","This card denotes partnership and unity, mirroring Royal Dwarf's harmonious blend of Skunk and cannabis ruderalis. It highlights the potential for deep connections and mutual understanding, reflecting the strain’s physically relaxing yet balanced effects.", 
three of cups,Kandahar,"Kandahar, named after the homeland of its ancestor, is a 90% indica strain bred by the Ministry of Cannabis. Its Afghani parent, grown near the city of Kandahar, was crossed with an unknown Afghan Skunk hybrid to help lighten some of the indica intensity. The result is a powerful but functional strain that goes best with relaxing activities at home. Its aroma is a complex blend of earthy wood with nutty undertones that are only fully realized in Kandahar’s taste. Kandahar exhibits the typical indica stature: short, bushy plants with thick layers of crystal trichomes. Indoor gardens finish flowering between 8 and 9 weeks, while outdoor harvest falls at the beginning of October."" with ""Royal Dwarf is a full-body hybrid bred by Royal Queen Seeds in Spain through crossing Skunk with a cannabis ruderalis variety. The result is a stout plant that autoflowers in a short 6 to 7 weeks with dark, crystal-sugared buds. Its effects quickly branch throughout the body, inducing head-to-toe relaxation that’s more physical than cerebral.","A trio of aliens, relaxed and jovial, gather in a cozy, dimly lit room, celebrating with cups filled with earthy, nutty brews. The setting is intimate and warm, inviting a sense of shared comfort and leisure.","Representing community and friendship, this card aligns with Kandahar's inviting, homely effects. It encourages enjoyment of life's pleasures with friends, symbolizing moments of relaxation and social warmth.", 
four of cups,Caramel-Kona-Coffee-Kush,"Caramel Kona Coffee Kush is a flavorful, alliterative cross by Pua Mana 1st Hawaiian Pakalōlō Seed Bank. This sweet wahine is luscious on the palate and heavy on the body, draping the limbs in cushy, weighted relaxation. CKC Kush’s Caramel Kush mother gives this strain its predominant flavor and physical effects, but the strain’s Kona Gold father shines through in latent spicy undertones and heady mental buzz. Noted as one of the most delicious strains in the Pua Mana archives, Caramel Kona Coffee Kush is a perfect strain to shrug off stress and treat yourself at the end of the day.  ","An alien sits apart from a festive scene, contemplative and slightly aloof, with a cup that emits a caramel-coffee aroma. The scene around is lively, but the focus is on the alien's introspective mood, hinting at a desire for deeper fulfillment.","This card often indicates apathy or reevaluation of one's emotional or situational outlook, analogous to the introspective and soothing effects of Caramel Kona Coffee Kush. It suggests a moment of self-reflection or potential missed emotional opportunities.", 
five of cups,Casper-Og,"Casper OG is an indica-dominant strain with a unique history. By combining ThaDocta’s Face Off OG and ORGNKID’s Ghost OG, Casper OG (the friendliest OG you know) was brought into being from the great beyond. Known for its squat plants and nine week grow cycle, Casper OG is an ideal indoor grow. This plant delivers traditional indica effects that mellow the mind and body in small doses, but anchors the consumer to the couch with continued use. The terpene profile is rich with OG notes, including earth and delicate citrus. Enjoy Casper OG in the evening to maximize its stress-free relaxation and gradual sedation","An alien mourns the spilling of three cups, unaware of the two still full behind them. The background is moody and dim, reflecting a sense of loss and regret, but also hinting at unseen opportunities.","Mirroring the deep, contemplative effects of Casper OG, this card illustrates disappointment and loss, but also points towards unrecognized potential. It encourages the viewer to turn around and notice the still-available cups, symbolizing hope amidst sorrow.", 
six of cups,Grandmas-Batch,"Grandma’s Batch by Purple Caper Seeds is a cross between Candyland and Girl Scout Cookies. This savory strain emits a sweet gas aroma while tasting sweet and doughy on the palate. The breeder has described the strain as “warm and fuzzy,” offering pleasant and relaxing physical effects suited to a day indoors. ","An alien child and an elder alien are together in a warm, well-lit kitchen, deeply engaged in the delightful process of making cookies. The elder alien is teaching the young one how to shape the dough, which emits a sweet, gas-like aroma reminiscent of Grandma's Batch. The kitchen is filled with elements of a cherished, cozy home, with vintage utensils and family photos on the walls.","This card symbolizes revisiting the joys of childhood and the comfort of familiar, loving environments. This scene of cookie-making with a grandmother figure perfectly captures the essence of nostalgic warmth and the ""warm and fuzzy"" effects described for Grandma's Batch. It encourages a return to simpler, happier times and the rekindling of old connections through shared, heartwarming activities.", 
seven of cups,Island-Haze,"Island Haze is an uplifting sativa with euphoria and creativity on tap. This strain is a cross of Cannalope Haze and Blue Jam (Atomic Haze x Blueberry), giving this strain a double dose of fruity terpenes and Haze genetics. Known for its happy mental state and whimsical creativity, this strain’s effects can assist with depression and fatigue. The bright fruit-forward aroma also makes this strain a crowd pleaser and welcome addition to sunny days outdoors.","An alien stands before seven cups, each overflowing with different aspects of a tropical paradise—sandy beaches, lush jungles, and bright fruits. The scene is vibrant and slightly surreal, emphasizing choice and imagination.","This card typically reflects choices and fantasies, mirroring Island Haze's ability to spark creativity and euphoria. It suggests exploring your options and dreams, particularly those that lead to happiness and artistic expression.", 
eight of cups,Ultra-Banana,"Ultra Banana is a delicious, sleep-inducing cross of MK Ultra and Banana Kush. MK Ultra possesses strong indica-dominant genetics, including OG Kush and G13, which are amplified by the sweet and floral elements of Banana Kush. This sedating combination lays into the body, weighing the consumer down with potent relaxation ideal for late evenings. Enjoy Ultra Banana to help relieve restlessness, anxiety, and general pain while stimulating introspective thought.    ","An alien walks away under a moonlit sky from eight cups, each emitting a soft, banana-scented glow. The path leads towards new, unknown ventures, highlighting a journey of deep introspection and self-discovery.","Representing abandonment and the search for deeper meaning, this card ties into Ultra Banana's introspective and sedative effects. It suggests leaving behind the known to seek higher truths, often when current pleasures no longer suffice.", 
nine of cups,Thunderbird-Rose,"Thunderbird Rose is a sativa strain bred by Kotton for Rebel Spirit Cannabis of Eugene, Oregon. This strain produces large lime green buds that express engorged trichome-covered calyxes and crimson pistils. Thunderbird Rose is a generous producer that has a healthy resistance to mold and pests. The aroma is floral with notes of deep green forest, fuel, and blueberry. Thunderbird Rose is an uplifting and euphoric cross that arouses creativity and enhances mood. ","An alien sits contentedly at a table, a cup filled with a vibrant, floral brew in front of them. The surrounding environment is lush, with flashes of lime green and crimson, reflecting a state of complete satisfaction and joy.","Known as the ""wish card,"" the Nine of Cups signifies contentment and getting what you desire, akin to Thunderbird Rose's mood-enhancing and creative effects. It suggests a time of happiness and fulfillment, where wishes are realized and enjoyed.", 
ten of cups,Sweet-Harlem-Diesel,"Sweet Harlem Diesel by Sumo Seeds is a fascinating cross of European and American genetics. This strain was created by first crossing Old Afghani with Honey Rock (Super Widow x Swazi Poison). The Sweet Afghani cut was then crossed with a US cut of the famous Sour Diesel. The resulting union yields a unique hybrid with a citrus-diesel aroma and uplifting mental effects that keep the consumer alert while the subtle body effects settle into the limbs. Sweet Harlem Diesel won 3rd prize for Indoor at the 2017 Balearic Cup. Its breeder recommends utilizing this strain to help relieve stress, depression, and minor physical discomfort.    ","A family of aliens gather joyfully under a rainbow, each holding cups steaming with a citrus-diesel aroma. The scene is harmonious, depicting a perfect state of bliss and familial unity in a picturesque outdoor setting.","This card symbolizes complete emotional fulfillment and familial harmony, reflecting the uplifting and stress-relieving effects of Sweet Harlem Diesel. It portrays an ideal state of joy, peace, and contentment within relationships and home life.", 
,,,,, 
one of swords,Goldberry,"The Goldberry strain is a result of crossing the very popular indica Pot of Gold with Blueberry. Goldberry produces big, fluffy buds that are covered in crystals and often have deep orangey-red hairs. The flowers smell like fresh fruit—lemons and berries, to be specific—while the taste is reminiscent of blueberry lemonade with a slight skunky aftertaste. This hybrid is described as optimal for pain relief and relaxation due to its indica qualities.","An alien stands confidently holding a single sword, its blade gleaming with a golden hue against a backdrop of lush blueberry bushes and lemon trees. The sword's hilt is adorned with orange-red gems resembling the fiery hairs on the buds of the Goldberry strain.","The One of Swords represents clarity, truth, and new beginnings, much like the refreshing and pain-relieving qualities of Goldberry. This card suggests cutting through confusion to achieve insight, mirroring the strain's ability to bring relief and focus.", 
two of swords,Purple-Tears,"Purple Tears by Dirt Farmer Genetics is a pleasant twist on an old favorite. It’s the product of breeding Querkle and DelaHaze, creating a strain with the aroma of musty grape and hash, and effects that are distinctly sedating. Purple Tears usually bends toward the Purple Urkle phenotype, but has been known to pop a DelaHaze plant from time to time with sativa-dominant qualities. The leaves and calyxes take on a deep purple hue while the plant matures, giving Purple Tears a solid visual presentation to go along with its potent purple effects.","An alien is blindfolded, sitting in serene balance while holding two swords crossed at their chest. Behind them, the scenery transitions between a grape vineyard and a hashish farm, reflecting the dual nature of the Purple Tears strain.","The Two of Swords symbolizes decision, balance, and the need for calm deliberation. It captures the sedative effects of Purple Tears and the strain's balance between its indica and occasional sativa expressions, encouraging a careful choice or truce.", 
three of swords,Alien-Rift,"Alien Rift by Ocean Grown Seeds is the thoroughly enhanced phenotype of Alien Abduction specifically backcrossed for better hash production. With a tart scent of lemon and spice and buds dense with trichomes, Alien Rift is certain to please the senses. This strain is the product of crossing Alien Abduction, Alien Dawg ('Ether' cut), and Alien OG. With that much extraterrestrial activity, you know this indica is out of this world! Use Alien Rift’s laidback effects to curb stress and moderate physical pain.","An alien heart pierced by three swords against a cosmic background, with stars and nebulae shaped subtly like the buds and trichomes of Alien Rift. The celestial setting hints at the strain's ""extraterrestrial"" lineage.","Traditionally, the Three of Swords represents heartache and emotional pain, but in this context, it also conveys overcoming such strife through the calming effects of Alien Rift. This card suggests healing and managing stress or physical pain.",could also split the heart a bit- causing a rift and underlining the idea of pain :p
four of swords,Violet-Delight,"Violet Delight is an indica-dominant strain that delivers exactly what its name promises: a loud burst of floral flavor that can only be compared to the aroma of a violet. Glance at this hybrid’s terpene profile and you’ll notice high levels of linalool, a flowery-smelling terpene that promotes relaxation and stress-relief. While driven by indica genetics, Violet Delight isn’t overwhelmingly sedating for most consumers. Instead, you’ll likely find yourself in a clear, focused headspace conducive for meditation or introverted activities. For the extroverts, this hybrid offers a giggly, lighthearted mood that keeps you active and engaged in social settings.","An alien lies in peaceful meditation in a field of violet flowers, with four swords resting against the ground around them, signifying a period of rest and recovery. The floral setting echoes the strain's potent floral aroma.","The Four of Swords represents rest, contemplation, and recovery, aligning with Violet Delight's stress-relieving and introspective effects. This card invites quiet reflection and mental recuperation, offering a break from life's turmoil.", 
five of swords,Kelly-Hill-Gold,"Cultivated by Joseph Arthur Botanicals in Colorado, Kelly Hill Gold is a 70/30 indica-dominant strain that crosses Acapulco Gold and Chemdawg 4. With buds that are large and full of orange pistils, this strain gives off strong earthy notes and the smell of burnt coffee. Averaging at 24.5% THC, its potent effects will send you into a relaxed and euphoric state that can help alleviate anxiety and stress.","An alien stands victorious but weary on a battlefield, holding one sword while the others lay scattered around. The landscape is rugged, reflecting the earthy, burnt coffee notes of Kelly Hill Gold.","The Five of Swords often signifies conflict and personal gain at the expense of others. In relation to Kelly Hill Gold, it symbolizes the overcoming of internal battles, particularly stress and anxiety, suggesting a bittersweet victory.", 
six of swords,Az-Super-Sour-Og,"VOTS AZ Super Sour OG from Valley of the Sun is a sour and skunky hybrid strain that can test as high as 24% THC. Its sativa-dominant genetics ease consumers into euphoric focus, making it a perfect daytime strain for creative pastimes and social gatherings. The uplifting qualities are recommended for depression and stress, but novice consumers should take caution as its psychoactive effects can become overwhelming in large doses.","An alien navigates a small boat across tranquil waters under a clear sky, transitioning from turbulent to calm seas. The boat's sails are full and billowing, symbolizing uplift and vigor, akin to the effects of AZ Super Sour OG.","This card typically represents moving from distress to relief. The expansive sails catching the wind emphasize an uplifting journey, aligning with the strain's ability to enhance focus and alleviate stress, guiding users towards a more positive mental state.",
seven of swords,Madcow,"Madcow descends from two high-energy sativas, Durban Poison and Purple Cow. With a heavy blanket of crystal resin, this strain is a solid choice for veteran consumers and for making concentrates. This pure-blooded sativa will hit you with weightless cerebral effects and induce fits of laughter. Smooth yet spicy, this flower releases a flavor similar to that of butterscotch.","An alien tiptoes away from a campsite, carrying five swords over their shoulder while two remain stuck in the ground. The scene has a playful butterscotch hue, reflecting the strain's smooth and spicy flavor.","The Seven of Swords is associated with stealth and strategy, which resonates with Madcow's potent cerebral effects that might sneak up on a user. This card warns of the need for caution and discretion.", 
eight of swords,Sugar-Cookie,"Sugar Cookie is a relaxing indica-dominant hybrid with an aromatic sweetness that is likely to have influenced this strain’s name. You might think this hybrid belongs in the same family as the famed Girl Scout Cookies, but its genetics say otherwise. Sugar Cookie is a three-way cross between Crystal Gayle, Blue Hawaiian, and Sensi Star, together passing on the resinous qualities of a Northern Lights ancestor along with tropical fruit and berry flavors. Your new favorite midnight snack may just be this indica Sugar Cookie, as it delivers a deep, full-body calm before lulling you into deep sleep.","An alien is blindfolded and bound within a circle of eight swords, standing in a field of sugar cane and cookies, symbolizing the strain's sweet, comforting nature amidst the feeling of restriction.","Usually, the Eight of Swords implies restriction and self-imposed limitations. Sugar Cookie's relaxing effects can either be seen as a soothing escape or a reminder not to get too comfortable and avoid confronting necessary challenges.",
nine of swords,Super-Chronic,"Super Chronic is an indica-dominant cross between a pre-‘98 Chronic and Critical Kush. Super Chronic brings you a smooth, sweet flavor with hints of skunk, lemon, and pine. Cultivated for potency and strong medical benefits, Super Chronic is a sublime strain with high levels of THC and CBD for a calming cerebral high.","An alien sits up in bed, hands covering their face, while nine swords hang on the wall above, each reflecting a scene of stress and worry. The room has a soothing ambiance with hints of lemon and pine to suggest relief.","This card typically represents anxiety, worry, and despair. Super Chronic's calming effects are crucial here, offering a way to soothe the mind and alleviate the fears and anxieties depicted in the card.", 
ten of swords,Super-Cat-Piss,"The Super Cat Piss strain smells just like you would imagine.  The name doesn't provoke very appetizing ideas but this is a great sativa.
","An alien lies on the ground with ten swords in their back, under a bright and clear sky. Nearby, a whimsical alien cat is playfully urinating near the body, adding a humorous yet symbolic element to the scene. The environment subtly incorporates elements that suggest the strain's uplifting sativa effects and its unique, pungent aroma.","The Ten of Swords symbolizes defeat, yet the cat's action introduces a note of irreverence and change, akin to the unexpected effects of Super Cat Piss. This playful imagery suggests finding humor and new beginnings in adversity, aligning with the strain's mood-altering properties.", 
,,,,, 
one of pentacles,Paris-Xxx,"Paris XXX is an extension of the Paris OG family that has placed in multiple Cannabis Cup competitions. This indica variety combines Headband OG, Chemdawg, and OG Kush genetics, creating a crisp, piney, and woody flavor on inhale. The fast-acting effects provide a balance of cerebral stimulation and full-body relaxation. Paris XXX is known to increase your appetite while also sparking creativity. ","An alien stands in a serene park at the heart of Paris, holding a glowing pentacle that emits a crisp, piney aura. The scene merges the tranquility of nature with subtle urban elements, such as distant views of Parisian architecture. The pentacle's design is elegant yet simple, reflecting the strain's robust and award-winning heritage.","This card signals the start of a prosperous venture. The blend of a quiet park setting with hints of the cityscape mirrors the strain's crisp and woody flavor, while the pentacle suggests the balanced cerebral and body effects that stimulate creativity and appetite. The integration of Parisian elements adds a touch of sophistication without overwhelming the natural simplicity of the scene.", 
two of pentacles,Moonwalker-Kush,"Moonwalker Kush is a balanced indica-dominant hybrid that is the genetic cross of Triple OG and Tahoe Alien. This odoriferous combination speaks volumes through its scent, which is thick with soured earth and a hint of pepper on the finish. The herbaceous terpene profile aligns nicely with this strain’s intense relaxation and moderate cerebral effects. Try Moonwalker Kush after dark to harness the sedative effects nestled below layers of trichomes and brown pistils.    ","An alien performs a graceful moonwalk dance on a celestial body, balancing two glowing pentacles, one in each hand. The backdrop is a starry sky, enhancing the surreal and balanced nature of the strain.","This card represents maintaining balance through dynamic changes. The act of moonwalking, a controlled yet fluid motion, mirrors the balancing act of managing the dual effects of relaxation and mild cerebral stimulation offered by Moonwalker Kush, making it ideal for evening use.", 
three of pentacles,Alohaberry,"Originating from the tropical islands of Hawaii, Alohaberry releases a pleasant aroma and taste of tropical berries. It is known for its unique sweet taste and because it is an equal hybrid, the effects are both mind and body. Flowering time for this plant is approximately 8-9 weeks.","Three aliens collaborate on cultivating a vibrant, tropical plant, symbolizing teamwork and skill development. The plant emits a berry-scented aura.","This card signifies collaboration and growth. The teamwork in cultivating the tropical Alohaberry plant mirrors the strain's balanced effects on mind and body, enhancing both creativity and relaxation.", 
four of pentacles,Purple-Swish,"Purple Swish is an intensely fruity indica strain. It’s a cross of Purple Urkle and Rare Dankness #1, and expresses dark buds with deep purple hues. This strain’s deep relaxation is coupled with giggly euphoria that will glue you to the couch with a smile on your face. The grower recommends utilizing Purple Swish for migraines, ADD/ADHD, and stress. Purple Swish also has a snappy 50 to 60 day flowering time.  ","An alien clutches four pentacles tightly, surrounded by purple hues and fruit scents, representing a protective stance over resources.","This card typically reflects security and control. The deep purple and fruity aroma of the surroundings emphasize the strain's soothing yet euphoric effects, ideal for stress and pain relief.", 
five of pentacles,Deep-Chunk,"This pure indica from Afghanistan was introduced to Northern California by breeder Tom Hill in the late 1970s. Deep Chunk combines a relatively short flowering time with exceptional resin production. It is often found with hints of purple or deep reds in the tight, compact flowers. The aroma of this stout, broad-leafed plant is regularly described with flavors of earth, hash, chocolate, and pine. Classified by many as 'old school,' Deep Chunk is sure to induce feelings of nostalgia that coincide with its ability to relieve ailments such as insomnia, digestive issues, and chronic pain.","An alien stands in a snowy scene, outside a warmly lit window, holding a pentacle carved with deep red and purple patterns, representing exclusion but near potential comfort.","This card often indicates hardship or health challenges. The strain's earthy and pine flavors, combined with its potent effects, offer relief, symbolized by the warmth just beyond the cold exterior.", 
six of pentacles,Diesel-Duff,"Diesel Duff is a happy, mellow strain that may just have your thoughts spinning off into new tangents. This strain’s effects tend to be more sativa in nature, taking after its Sour Diesel genetics. It’s a great choice for taming the mind during daytime and getting things done as long as your pursuits are not too labor-intensive.","An alien joyfully distributes six pentacles to a crowd, under a bright, energizing light, symbolizing generosity and fairness.","This card represents the distribution of wealth or knowledge. The uplifting and creative effects of Diesel Duff inspire generosity and active engagement, reflecting the strain's sativa influences.", 
seven of pentacles,S.A.G.E.,"S.A.G.E. stands for Sativa Afghani Genetic Equilibrium, it is a well balanced Haze crossed with a robust indica strain. Containing over 20% THC it took 2nd place in the blind test at the 2001 Cannabis Cup. Spicy sandalwood flavor combined with a long lasting and uplifting high make this the plant for those who like the best.","An alien patiently tends to seven flowering plants, reflecting the strain's balanced genetics and the rewards of careful cultivation.","This card signifies patience and investment in future gains. The spicy, uplifting effects of S.A.G.E. align with the gardener's anticipation of the harvest, symbolizing a well-balanced effort and outcome.", 
eight of pentacles,Peyote-Cookies,"Peyote Cookies by Barney’s Farm was created by crossing Peyote Purple and Barney’s famous Cookies Kush. It was developed through a detailed selection and back-crossing process that helped isolate the very best qualities of both parent strains, resulting in a vigorous hybrid flower that is easy to grow and pleasurable to consume. The flowering plant displays a dazzling ruby red and purple complexion coupled with delicious flavors of guava, vanilla, coffee, and earth. This strain is also mold and mildew-resistant and grows superbly indoors or outdoors.","An alien in a dimly lit workshop meticulously crafts eight intricate pentacles, each adorned with patterns of ruby red and deep purple, under a workshop light. The workshop is accented with hints of desert flora, echoing the strain's hardy nature.","This card represents dedication and mastery in one's craft. The careful crafting of each pentacle, adorned with colors reflecting the Peyote Cookies strain, symbolizes the complexity and robust flavors of the strain, mirroring the artisan's commitment and precision.", 
nine of pentacles,Pink-Sunset,"Pink Sunset is the indica phenotype of the delicious indica-dominant hybrid Sunset Sherbert. This sugary strain has roots in Girl Scout Cookies, but pushes the functional sedation of its OG Kush and Cherry Pie parentage into the realm of full-body relaxation. Use this strain after work to unwind or on the way to bed as a dreamy dessert that combats insomnia, chronic pain, and nausea.   ","An alien lounges in a lush garden under the warm hues of a pink sunset, surrounded by nine glowing pentacles. The air is filled with sugary, floral scents, enhancing the sense of luxurious solitude.",This card symbolizes abundance and self-reliance. The tranquil pink sunset reflects the strain's soothing effects and the serene environment promotes relaxation and contentment in one's achievements., 
